title,year,duration,rating,movie_url,genre,user-agent
The Shawshank Redemption ,1994,2h 22min,9.3,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Grave of the Fireflies ,1988,1h 29min,8.5,https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Back to the Future ,1985,1h 56min,8.5,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt,Adventure,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Terminator 2: Judgment Day ,1991,2h 17min,8.5,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Once Upon a Time in the West ,1968,2h 45min,8.5,https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt,Western,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Cinema Paradiso ,1988,2h 35min,8.5,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Léon: The Professional ,1994,1h 50min,8.5,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Lion King ,1994,1h 28min,8.5,https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Usual Suspects ,1995,1h 46min,8.5,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
American History X ,1998,1h 59min,8.5,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Gladiator ,2000,2h 35min,8.5,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Pianist ,2002,2h 30min,8.5,https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Intouchables ,2011,1h 52min,8.5,https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Departed ,2006,2h 31min,8.5,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Prestige ,2006,2h 10min,8.5,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Whiplash ,2014,1h 46min,8.5,https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Full Metal Jacket ,1987,1h 56min,8.3,https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Reservoir Dogs ,1992,1h 39min,8.3,https://www.imdb.com/title/tt0105236/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Come and See ,1985,2h 22min,8.3,https://www.imdb.com/title/tt0091251/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Braveheart ,1995,2h 58min,8.3,https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Toy Story ,1995,1h 21min,8.3,https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Good Will Hunting ,1997,2h 6min,8.3,https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Bandit ,1996,2h 8min,8.3,https://www.imdb.com/title/tt0116231/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Children of Heaven ,1997,1h 29min,8.3,https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Avengers: Infinity War ,2018,2h 29min,8.5,https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
American Beauty ,1999,2h 2min,8.3,https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Requiem for a Dream ,2000,1h 42min,8.3,https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Snatch ,2000,1h 42min,8.3,https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt,Comedy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Casino ,1995,2h 58min,8.2,https://www.imdb.com/title/tt0112641/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Amélie ,2001,2h 2min,8.3,https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt,Comedy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,8.3,https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Inglourious Basterds ,2009,2h 33min,8.3,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt,Adventure,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
My Neighbor Totoro ,1988,1h 26min,8.2,https://www.imdb.com/title/tt0096283/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Indiana Jones and the Last Crusade ,1989,2h 7min,8.2,https://www.imdb.com/title/tt0097576/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Unforgiven ,1992,2h 10min,8.2,https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Heat ,1995,2h 50min,8.2,https://www.imdb.com/title/tt0113277/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
L.A. Confidential ,1997,2h 18min,8.2,https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
"Lock, Stock and Two Smoking Barrels ",1998,1h 47min,8.2,https://www.imdb.com/title/tt0120735/?ref_=adv_li_tt,Comedy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Downfall ,2004,2h 36min,8.2,https://www.imdb.com/title/tt0363163/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Howl's Moving Castle ,2004,1h 59min,8.2,https://www.imdb.com/title/tt0347149/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
A Beautiful Mind ,2001,2h 15min,8.2,https://www.imdb.com/title/tt0268978/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Batman Begins ,2005,2h 20min,8.2,https://www.imdb.com/title/tt0372784/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Pan's Labyrinth ,2006,1h 58min,8.2,https://www.imdb.com/title/tt0457430/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Rang De Basanti ,2006,2h 47min,8.2,https://www.imdb.com/title/tt0405508/?ref_=adv_li_tt,Comedy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
There Will Be Blood ,2007,2h 38min,8.2,https://www.imdb.com/title/tt0469494/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Warrior ,2011,2h 20min,8.2,https://www.imdb.com/title/tt1291584/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
V for Vendetta ,2005,2h 12min,8.2,https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Up ,2009,1h 36min,8.2,https://www.imdb.com/title/tt1049413/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Wolf of Wall Street ,2013,3h,8.2,https://www.imdb.com/title/tt0993846/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Die Hard ,1988,2h 12min,8.2,https://www.imdb.com/title/tt0095016/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Memories of Murder ,2003,2h 12min,8.1,https://www.imdb.com/title/tt0353969/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Million Dollar Baby ,2004,2h 12min,8.1,https://www.imdb.com/title/tt0405159/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Hotel Rwanda ,2004,2h 1min,8.1,https://www.imdb.com/title/tt0395169/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Mary and Max ,2009,1h 32min,8.1,https://www.imdb.com/title/tt0978762/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
How to Train Your Dragon ,2010,1h 38min,8.1,https://www.imdb.com/title/tt0892769/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Into the Wild ,2007,2h 28min,8.1,https://www.imdb.com/title/tt0758758/?ref_=adv_li_tt,Adventure,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
No Country for Old Men ,2007,2h 2min,8.1,https://www.imdb.com/title/tt0477348/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Hachi: A Dog's Tale ,2009,1h 33min,8.1,https://www.imdb.com/title/tt1028532/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Shutter Island ,2010,2h 18min,8.1,https://www.imdb.com/title/tt1130884/?ref_=adv_li_tt,Mystery,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,8.1,https://www.imdb.com/title/tt1201607/?ref_=adv_li_tt,Adventure,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Spotlight ,2015,2h 9min,8.1,https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Prisoners ,2013,2h 33min,8.1,https://www.imdb.com/title/tt1392214/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Mad Max: Fury Road ,2015,2h,8.1,https://www.imdb.com/title/tt1392190/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Kill Bill: Vol. 1 ,2003,1h 51min,8.1,https://www.imdb.com/title/tt0266697/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Passion of Joan of Arc ,1928,1h 54min,8.1,https://www.imdb.com/title/tt0019254/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Help ,2011,2h 26min,8.1,https://www.imdb.com/title/tt1454029/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Gran Torino ,2008,1h 56min,8.1,https://www.imdb.com/title/tt1205489/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Butch Cassidy and the Sundance Kid ,1969,1h 50min,8.0,https://www.imdb.com/title/tt0064115/?ref_=adv_li_tt,Biography,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Castle in the Sky ,1986,2h 5min,8.0,https://www.imdb.com/title/tt0092067/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Terminator ,1984,1h 47min,8.0,https://www.imdb.com/title/tt0088247/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The General ,1926,1h 7min,8.1,https://www.imdb.com/title/tt0017925/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Aladdin ,1992,1h 30min,8.0,https://www.imdb.com/title/tt0103639/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Akira ,1988,2h 4min,8.0,https://www.imdb.com/title/tt0094625/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
"Monsters, Inc. ",2001,1h 32min,8.0,https://www.imdb.com/title/tt0198781/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Before Sunset ,2004,1h 20min,8.0,https://www.imdb.com/title/tt0381681/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Gone with the Wind ,1939,3h 58min,8.1,https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Mr. Smith Goes to Washington ,1939,2h 9min,8.1,https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt,Comedy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
It Happened One Night ,1934,1h 45min,8.1,https://www.imdb.com/title/tt0025316/?ref_=adv_li_tt,Comedy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Rebecca ,1940,2h 10min,8.1,https://www.imdb.com/title/tt0032976/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Third Man ,1949,1h 33min,8.1,https://www.imdb.com/title/tt0041959/?ref_=adv_li_tt,Film-Noir,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
On the Waterfront ,1954,1h 48min,8.1,https://www.imdb.com/title/tt0047296/?ref_=adv_li_tt,Crime,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Bridge on the River Kwai ,1957,2h 41min,8.1,https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt,Adventure,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
